Nursing Home,Alamance,Peak Resources -  Alamance,2,0,0,0,2,0
Nursing Home,Alamance,White Oak Manor - Burlington,26,0,54,9,80,9
Nursing Home,Anson,Wadesboro Health & Rehab,3,0,1,0,4,0
Nursing Home,Bertie,Three Rivers Health & Rehabilitation,1,0,2,0,3,0
Nursing Home,Buncombe,Aston Park Health Care,5,0,22,0,27,0
Nursing Home,Buncombe,Carolina Pines at Asheville,2,0,0,0,2,0
"",,Deerfield Episcopal Retirement,,,,,,
Nursing Home,Buncombe,Deerfield Episcopal Retirement Community,4,0,3,0,7,0
Nursing Home,Buncombe,Stonecreek Health and Rehabilitation,2,0,0,0,2,0
Nursing Home,Burke,Autumn Care - Drexel,2,0,4,1,6,1
Nursing Home,Burke,Grace Heights Health and Rehab,31,0,54,12,85,12
Nursing Home,Cabarrus,Five Oaks Manor Rehab,24,0,77,10,101,10
Nursing Home,Cabarrus,Universal Healthcare Concord,1,0,2,0,3,0
Nursing Home,Catawba,Abernathy Laurels Newton,1,0,1,0,2,0
"",,Brian Center Health and Rehab / Hickory,,,,,,
Nursing Home,Catawba,Brian Center Health and Rehab / Hickory Viewmont,1,0,2,0,3,0
"",,Genesis Healthcare LLC (Siler City,,,,,,
Nursing Home,Chatham,Genesis Healthcare LLC (Siler City Center),11,0,28,0,39,0
Nursing Home,Chatham,The Laurels Of Chatham,40,0,69,21,109,21
Nursing Home,Cleveland,Cleveland Pines,6,0,6,1,12,1
Nursing Home,Columbus,Liberty Commons Columbus,2,0,12,2,14,2
Nursing Home,Columbus,Premier Living & Rehab Center,8,0,19,4,27,4
"",,NC State Veterans Nursing Home -,,,,,,
Nursing Home,Cumberland,NC State Veterans Nursing Home - Fayetteville,8,0,11,1,19,1
Nursing Home,Cumberland,Village Green Health & Rehab,10,0,12,4,22,4
Nursing Home,Davidson,Alston Brook,14,0,45,8,59,8
Nursing Home,Duplin,Kenansville Health & Rehabilitation,21,0,28,4,49,4
Nursing Home,Durham,Carver Living Center (Rehabilitation),5,0,11,0,16,0
Nursing Home,Durham,Durham Nursing & Rehabilitation Center,32,0,79,15,111,15
Nursing Home,Durham,Treyburn Rehab & Nursing,18,0,70,19,88,19
Nursing Home,Forsyth,Oak Forest Health and Rehabilitation,1,0,1,0,2,0
Nursing Home,Forsyth,Silas Creek Rehabilitation,1,0,1,0,2,0
Nursing Home,Franklin,Louisburg Healthcare and Rehab Center,13,0,56,19,69,19
