Nursing Home,Alamance,White Oak Manor-Burlington,13,0,22,0,35,0
Nursing Home,Anson,Wadesboro Health & Rehab,3,0,1,0,4,0
Nursing Home,Bertie,Three Rivers Health & Rehabilitation,1,0,2,0,3,0
Nursing Home,Burke,Autumn Care - Drexel,2,0,4,1,6,1
Nursing Home,Burke,Grace Heights Health and Rehab,24,0,50,9,74,9
Nursing Home,Cabarrus,Five Oaks Manor Rehab,24,0,77,10,101,10
"",,Genesis Healthcare LLC (Siler City,,,,,,
Nursing Home,Chatham,Center),2,0,2,0,4,0
Nursing Home,Chatham,The Laurels Of Chatham,39,0,67,9,106,9
Nursing Home,Cleveland,Cleveland Pines,6,0,6,1,12,1
"",,Liberty Commons Nursing &,,,,,,
Nursing Home,Columbus,Liberty Commons Nursing & Rehabilitation Center of Columbus County,2,0,12,2,14,2
Nursing Home,Columbus,Premier Living & Rehab Center,7,0,17,4,24,4
Nursing Home,Cumberland,Village Green Health & Rehab,10,0,12,3,22,3
Nursing Home,Davidson,Alston Brook,15,0,41,8,56,8
Nursing Home,Duplin,Kenansville Health & Rehabilitation,0,0,3,0,3,0
Nursing Home,Durham,Durham Nursing & Rehabilitation Center,32,0,79,14,111,14
Nursing Home,Durham,Hillcrest Convalescent Center,0,0,2,1,2,1
Nursing Home,Durham,Treyburn Rehab & Nursing,17,0,58,12,75,12
Nursing Home,Forsyth,Oak Forest Health and Rehabilitation,1,0,1,0,2,0
Nursing Home,Franklin,Louisburg Healthcare and Rehab Center,13,0,56,18,69,18
Nursing Home,Guilford,Camden Health and Rehabilitation,14,0,25,4,39,4
Nursing Home,Guilford,Clapps Nursing Center,11,0,32,3,43,3
"",,Harnett Woods Nursing and,,,,,,
Nursing Home,Harnett,Harnett Woods Nursing and Rehabilitation Center,10,0,1,0,11,0
Nursing Home,Harnett,Universal Health Lillington,13,0,62,7,75,7
"",,Brian Center Health &,,,,,,
Nursing Home,Henderson,Brian Center Health & Rehab/Hendersonville,5,0,42,9,47,9
